Sample CUTs,Evosuite-60s-1st,Evosuite-60s-2nd,Evosuite-60s-3rd,Evosuite-60s-4th,Evosuite-60s-5th,UTBot-60s-1st,UTBot-60s-2nd,UTBot-60s-3rd,UTBot-60s-4th,UTBot-60s-5th,Evosuite-120s-1st,Evosuite-120s-2nd,Evosuite-120s-3rd,Evosuite-120s-4th,Evosuite-120s-5th,UTBot-120s-1st,UTBot-120s-2nd,UTBot-120s-3rd,UTBot-120s-4th,UTBot-120s-5th,Evosuite-300s-1st,Evosuite-300s-2nd,Evosuite-300s-3rd,Evosuite-300s-4th,Evosuite-300s-5th,UTBot-300s-1st,UTBot-300s-2nd,UTBot-300s-3rd,UTBot-300s-4th,UTBot-300s-5th
JSON,48,45,44,43,48,48,50,49,50,52,50,51,49,52,52,46,50,49,51,49,60,60,58,52,60,45,43,41,41,48
JSONArray,30,42,30,52,40,22,27,27,25,25,35,40,38,59,50,30,30,30,30,30,52,50,59,47,42,30,22,35,50,47
JSONObject,40,39,39,39,38,35,35,35,35,35,42,43,44,42,46,38,39,39,39,38,52,46,54,47,50,35,37,36,35,35
JSONPath,20,23,23,23,23,9,11,9,11,10,22,25,24,24,24,10,15,15,14,14,29,28,26,27,26,16,17,18,15,16
JSONWriter,97,97,97,97,97,70,70,67,70,70,97,97,97,97,97,70,70,70,67,70,97,97,97,97,97,44,44,70,44,44
ClassReader,1,1,1,1,1,43,39,40,42,38,2,2,2,5,2,45,43,43,43,43,7,19,15,12,14,46,46,46,47,45
Type,81,78,75,78,80,90,86,86,89,88,85,78,86,85,82,86,94,89,86,92,89,89,89,89,88,93,93,93,93,93
ArrayListTypeFieldDeserializer,3,3,3,3,3,35,34,34,34,34,38,36,32,36,36,32,42,40,35,46,43,38,39,38,36,56,52,52,52,56
JavaBeanDeserializer,12,13,15,14,15,11,11,12,11,10,18,15,17,13,15,12,11,11,11,11,19,16,19,18,15,0,10,11,11,10
MapDeserializer,32,28,22,27,23,18,24,18,24,24,36,25,28,23,28,19,23,24,24,25,37,30,39,32,28,20,20,20,20,20
SqlDateDeserializer,62,60,64,64,60,20,41,12,37,41,64,83,64,64,64,37,41,37,37,41,64,64,85,64,64,39,43,43,43,39
JSONReaderScanner,68,64,56,67,68,83,83,83,83,82,68,65,70,72,65,82,82,82,82,82,79,81,74,79,74,81,81,81,82,83
ParserConfig,50,43,50,51,46,24,23,22,23,23,37,33,36,40,23,22,21,21,24,22,52,52,42,55,56,24,19,24,23,20
AnnotationSerializer,15,15,15,15,15,4,4,4,4,4,15,15,15,15,15,4,4,4,4,4,15,15,15,15,15,4,4,4,4,4
ASMSerializerFactory,72,73,73,73,72,0,0,0,0,0,19,19,55,18,23,0,0,0,0,0,53,19,19,51,19,0,0,0,0,
BigDecimalCodec,6,6,6,6,6,26,26,26,26,26,93,66,80,73,76,26,26,26,26,26,83,90,96,83,70,,,,,
CharArrayCodec,31,68,36,36,31,35,40,40,35,35,72,36,63,40,36,40,40,40,40,40,40,36,31,36,36,40,40,40,40,35
JodaCodec,27,31,27,29,26,14,14,19,18,18,27,34,26,28,24,19,14,15,17,14,43,34,38,36,45,6,6,11,9,6
MapSerializer,37,39,35,40,34,3,3,6,3,3,54,50,54,54,54,1,9,1,9,6,61,69,64,53,67,7,7,7,12,7
SerializeFilterable,58,61,54,48,58,42,41,40,40,39,85,73,81,76,76,54,57,52,50,60,82,79,77,87,79,74,60,75,77,78
StringCodec,42,42,42,42,42,50,50,50,50,50,73,76,80,73,65,50,50,50,50,50,80,80,88,84,76,50,50,50,50,50
