Sample CUTs,Evosuite-60s-1st,Evosuite-60s-2nd,Evosuite-60s-3rd,Evosuite-60s-4th,Evosuite-60s-5th,UTBot-60s-1st,UTBot-60s-2nd,UTBot-60s-3rd,UTBot-60s-4th,UTBot-60s-5th,Evosuite-120s-1st,Evosuite-120s-2nd,Evosuite-120s-3rd,Evosuite-120s-4th,Evosuite-120s-5th,UTBot-120s-1st,UTBot-120s-2nd,UTBot-120s-3rd,UTBot-120s-4th,UTBot-120s-5th,Evosuite-300s-1st,Evosuite-300s-2nd,Evosuite-300s-3rd,Evosuite-300s-4th,Evosuite-300s-5th,UTBot-300s-1st,UTBot-300s-2nd,UTBot-300s-3rd,UTBot-300s-4th,UTBot-300s-5th
JSON,67,59,58,60,64,62,62,61,63,62,69,69,65,70,72,57,63,62,64,62,77,76,74,96,77,53,51,52,51,68
JSONArray,62,72,60,73,69,53,59,57,54,53,67,67,64,85,76,58,58,58,58,58,81,78,84,74,64,55,51,59,68,67
JSONObject,66,66,64,64,65,60,58,58,60,60,66,67,67,65,66,62,62,63,63,63,68,68,76,69,69,58,58,59,58,58
JSONPath,34,36,36,36,36,14,16,13,17,15,33,38,37,38,37,15,20,20,20,20,42,42,39,42,40,21,23,23,20,21
JSONWriter,100,100,100,100,100,72,74,72,74,72,100,100,100,100,100,72,71,71,71,72,100,100,100,100,100,45,45,72,45,45
ClassReader,4,4,4,4,4,48,45,46,47,45,7,7,7,17,7,53,48,48,48,48,20,33,29,26,30,54,54,54,55,53
Type,84,88,80,82,83,95,95,95,95,95,88,83,91,88,86,100,100,100,100,100,93,92,92,92,92,100,100,100,100,100
ArrayListTypeFieldDeserializer,12,12,12,12,12,34,33,34,33,33,44,44,40,44,44,31,42,39,34,45,52,44,46,44,44,56,52,52,52,56
JavaBeanDeserializer,19,18,22,21,22,15,15,15,14,14,25,21,24,20,21,15,15,15,15,15,26,23,26,26,22,11,13,15,15,13
MapDeserializer,38,32,24,32,26,23,30,23,30,30,42,31,32,25,33,25,27,30,30,32,41,34,45,35,32,25,25,25,25,25
SqlDateDeserializer,76,75,77,77,75,27,45,20,42,45,77,87,77,79,77,42,45,42,42,45,79,79,84,77,77,44,47,47,47,44
JSONReaderScanner,83,81,77,83,85,68,68,68,68,67,86,85,88,85,81,66,66,66,66,66,91,93,89,90,88,66,66,66,67,68
ParserConfig,65,61,67,68,64,43,42,42,42,42,53,51,52,55,42,41,41,41,43,41,68,68,61,70,70,42,38,42,42,40
AnnotationSerializer,18,18,18,18,18,16,16,16,16,16,18,18,18,18,18,16,16,16,16,16,18,18,18,18,18,16,16,16,16,16
ASMSerializerFactory,81,81,81,81,81,1,1,1,1,1,26,26,55,24,29,1,1,1,1,1,55,26,26,53,26,1,1,1,1,
BigDecimalCodec,41,41,41,41,41,59,59,59,59,59,100,89,94,97,89,59,59,59,59,59,94,94,100,100,92,,,,,
CharArrayCodec,37,71,40,40,37,40,42,42,40,40,80,40,74,48,45,42,48,42,42,42,48,45,37,40,40,42,42,42,42,40
JodaCodec,39,46,39,39,35,26,26,33,31,33,37,48,37,39,34,34,25,27,26,25,50,47,50,51,54,17,17,24,21,17
MapSerializer,60,60,58,62,59,9,9,13,9,9,76,72,73,72,75,5,20,5,20,13,82,84,82,76,81,17,17,17,25,17
SerializeFilterable,65,67,64,63,65,57,56,56,55,54,84,74,79,76,79,63,65,61,61,66,80,78,80,85,97,73,66,76,76,77
StringCodec,51,53,53,53,53,57,52,52,52,57,84,80,86,84,82,52,52,52,52,52,86,86,100,93,91,52,52,52,52,52
Base64,93,93,93,92,93,87,87,87,87,87,93,93,93,93,93,87,87,77,87,82,93,93,93,93,93,87,87,87,87,87
IOUtils,69,71,72,72,64,86,88,84,87,87,73,78,76,81,78,85,85,85,85,85,82,78,81,79,84,84,84,82,84,84
RyuDouble,50,54,50,50,50,65,65,65,65,65,54,54,51,54,54,65,65,65,65,65,54,54,54,54,53,65,65,65,65,65
RyuFloat,62,84,86,84,61,76,76,80,80,76,92,92,88,86,83,79,76,7,79,76,88,92,93,92,89,76,79,79,76,79
EmailUtils,85,85,85,85,85,89,90,89,89,89,86,85,85,85,85,89,89,89,89,90,88,88,88,85,85,89,89,89,89,89
HtmlEmail,80,83,84,83,83,38,48,38,38,38,80,86,80,80,80,38,38,38,38,44,85,89,88,88,84,38,38,38,38,38
MultiPartEmail,86,85,88,85,85,64,71,64,64,64,86,89,88,89,89,64,64,64,64,71,88,90,88,89,89,64,64,64,64,64
DataSourceFileResolver,100,100,100,100,100,77,88,77,77,77,100,100,100,100,100,77,77,77,77,88,100,100,100,100,100,77,77,77,77,77
MimeMessageParser,91,80,76,87,84,29,54,29,29,29,88,85,89,88,94,29,29,29,29,61,92,93,88,96,85,29,29,29,29,29
CookieUtil,73,73,73,73,73,19,19,19,19,19,73,73,73,73,73,19,19,19,19,19,73,73,73,73,73,19,19,19,19,19
StringUtil,94,93,93,95,93,,,,,,94,94,93,95,94,,,,,,94,94,95,96,96,,,,,
Entities,78,73,74,83,81,60,60,60,60,60,77,81,86,85,80,60,60,60,60,60,88,87,88,85,82,60,60,60,60,60
LeafNode,100,100,100,100,100,23,23,23,23,23,100,100,100,100,100,23,23,23,23,23,100,100,100,100,100,23,23,23,23,23
HtmlTreeBuilder,49,46,55,48,13,,,,,,54,58,48,50,59,,,,,,69,65,66,71,58,,,,,
Token,99,100,100,99,100,11,11,11,11,11,100,100,100,100,100,11,11,11,11,11,100,100,100,100,100,11,11,11,11,11
TokenQueue,94,95,94,93,94,29,29,29,29,29,94,95,95,95,95,29,29,29,29,29,94,95,95,95,95,29,29,29,29,29
Safelist,76,78,82,80,79,,,,,,84,83,86,83,86,,,,,,88,87,89,91,91,,,,,
Elements,96,95,90,95,97,,,,,,98,97,98,98,96,,,,,,97,98,97,98,98,,,,,
QueryParser,80,81,77,77,78,,,,,,83,78,85,81,79,,,,,,84,82,81,84,85,,,,,
